,game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
10423,20600496,0,1610612758,SAC,Sacramento,36,9,11,9,13,17,1,16,11,16,1610612757,POR,Portland,32,16,11,6,0,17,14,16
10424,20600493,0,1610612740,NOK,New Orleans/Oklahoma City,36,12,10,3,4,8,2,16,6,14,1610612754,IND,Indiana,36,18,2,9,0,16,8,18
10425,20600500,0,1610612759,SAS,San Antonio,34,7,18,18,4,0,1,16,9,19,1610612763,MEM,Memphis,38,2,18,2,0,14,8,21
10426,20600501,0,1610612753,ORL,Orlando,36,19,14,17,0,1,2,23,22,20,1610612738,BOS,Boston,28,6,12,0,0,17,9,16
10427,20600502,0,1610612756,PHX,Phoenix,54,10,17,30,11,6,0,15,7,13,1610612744,GSW,Golden State,42,11,29,6,0,25,8,30
10428,20600499,0,1610612750,MIN,Minnesota,22,10,4,11,20,14,0,13,11,12,1610612745,HOU,Houston,40,18,6,5,1,12,11,13
10429,20600498,0,1610612761,TOR,Toronto,40,17,7,22,6,1,2,11,16,13,1610612764,WAS,Washington,28,11,20,4,0,11,8,10
10430,20600503,0,1610612748,MIA,Miami,36,11,6,4,8,4,1,13,8,18,1610612757,POR,Portland,32,14,2,16,3,14,10,11
10431,20600505,0,1610612740,NOK,New Orleans/Oklahoma City,34,11,6,13,3,4,0,15,8,23,1610612746,LAC,Los Angeles,32,20,19,13,2,15,8,13
10432,20600506,0,1610612745,HOU,Houston,22,19,2,8,7,7,0,13,8,12,1610612741,CHI,Chicago,22,8,8,12,0,12,6,6
10433,20600507,0,1610612749,MIL,Milwaukee,40,18,13,2,1,2,2,12,7,17,1610612743,DEN,Denver,40,16,23,14,0,16,13,14
10434,20600514,0,1610612756,PHX,Phoenix,46,9,20,16,4,2,0,14,4,14,1610612760,SEA,Seattle,54,19,16,10,2,12,5,10
10435,20600511,0,1610612763,MEM,Memphis,54,18,39,24,7,3,1,20,16,18,1610612747,LAL,Los Angeles,38,16,10,10,1,18,7,22
10436,20600513,0,1610612742,DAL,Dallas,32,9,16,7,12,6,0,21,7,23,1610612762,UTA,Utah,42,4,10,9,1,22,11,35
10437,20600512,0,1610612757,POR,Portland,42,21,6,4,7,8,2,19,11,28,1610612759,SAS,San Antonio,28,17,16,19,1,15,5,12
10438,20600515,0,1610612758,SAC,Sacramento,26,10,11,17,3,5,1,14,9,25,1610612739,CLE,Cleveland,48,10,16,16,0,10,8,8
10439,20600509,0,1610612754,IND,Indiana,50,16,18,21,5,2,1,18,7,21,1610612737,ATL,Atlanta,24,16,6,5,0,15,7,23
10440,20600510,0,1610612751,NJN,New Jersey,46,10,20,19,8,3,1,15,4,22,1610612761,TOR,Toronto,22,6,6,6,0,17,5,21
10441,20600508,0,1610612765,DET,Detroit,44,4,8,18,2,6,1,17,3,17,1610612755,PHI,Philadelphia,46,21,15,2,0,13,8,12
10442,20600523,0,1610612745,HOU,Houston,42,14,16,26,5,4,0,9,5,8,1610612747,LAL,Los Angeles,32,4,4,6,0,12,6,14
10443,20600519,0,1610612752,NYK,New York,36,13,5,24,0,1,1,22,12,29,1610612755,PHI,Philadelphia,44,12,4,0,0,12,6,12
10444,20600524,0,1610612757,POR,Portland,30,16,7,2,1,3,0,13,6,16,1610612742,DAL,Dallas,26,12,13,26,0,14,0,11
10445,20600525,0,1610612759,SAS,San Antonio,50,10,9,9,9,6,1,11,9,8,1610612743,DEN,Denver,40,4,17,8,0,17,5,19
10446,20600520,0,1610612766,CHA,Charlotte,32,16,12,13,6,2,0,15,13,15,1610612765,DET,Detroit,28,16,17,9,0,10,7,12
10447,20600517,0,1610612740,NOK,New Orleans/Oklahoma City,26,6,11,27,13,3,0,21,9,24,1610612737,ATL,Atlanta,32,10,17,5,0,10,8,3
10448,20600518,0,1610612738,BOS,Boston,42,14,14,9,14,9,3,22,12,20,1610612754,IND,Indiana,30,18,9,18,1,16,5,18
10449,20600526,0,1610612748,MIA,Miami,24,4,14,7,13,11,0,8,5,7,1610612760,SEA,Seattle,62,16,10,10,1,12,9,13
10450,20600521,0,1610612761,TOR,Toronto,28,6,8,15,3,6,0,13,7,12,1610612749,MIL,Milwaukee,42,11,4,10,0,16,6,14
10451,20600516,0,1610612764,WAS,Washington,32,20,17,15,1,4,3,11,10,15,1610612741,CHI,Chicago,24,10,17,9,1,20,8,32
10452,20600528,0,1610612741,CHI,Chicago,26,5,15,18,2,3,2,14,8,16,1610612751,NJN,New Jersey,32,19,9,7,1,13,9,11
10453,20600529,0,1610612739,CLE,Cleveland,18,22,3,2,3,5,0,16,14,21,1610612756,PHX,Phoenix,48,11,34,32,0,13,6,8
10454,20600538,0,1610612745,HOU,Houston,22,4,12,9,13,7,2,11,15,8,1610612743,DEN,Denver,22,15,11,6,0,13,12,17
10455,20600537,0,1610612757,POR,Portland,38,9,8,13,6,4,0,19,9,17,1610612758,SAC,Sacramento,38,5,2,11,0,21,11,22
10456,20600539,0,1610612747,LAL,Los Angeles,42,12,10,7,17,15,0,9,10,13,1610612753,ORL,Orlando,50,9,6,6,0,12,10,10
10457,20600540,0,1610612744,GSW,Golden State,54,9,25,6,12,5,0,13,8,13,1610612748,MIA,Miami,42,14,15,28,0,19,5,22
10458,20600530,0,1610612749,MIL,Milwaukee,50,18,13,14,7,7,0,15,6,23,1610612755,PHI,Philadelphia,48,12,23,16,1,11,7,16
10459,20600533,0,1610612752,NYK,New York,60,22,14,9,5,7,1,17,12,23,1610612766,CHA,Charlotte,48,6,6,16,0,10,9,11
10460,20600532,0,1610612738,BOS,Boston,28,10,10,5,8,5,1,22,12,21,1610612761,TOR,Toronto,30,7,10,17,0,13,7,17
10461,20600531,0,1610612754,IND,Indiana,48,12,19,11,15,12,0,14,10,16,1610612742,DAL,Dallas,28,17,16,3,2,11,12,17
10462,20600536,0,1610612740,NOK,New Orleans/Oklahoma City,46,14,6,9,5,8,0,21,8,26,1610612764,WAS,Washington,30,15,23,10,2,18,5,18
10463,20600534,0,1610612737,ATL,Atlanta,30,10,7,14,2,2,0,14,7,11,1610612765,DET,Detroit,36,18,13,1,0,10,7,11
