,PLAYER_NAME,SEASON,SEASON_NUM,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURED_TYPE,Date,Team,Notes,Out Indefinitely,injury_type,body_part,Injured,year,month,first_name,last_name,lower body injury
4032,Rashad Vaughn,16-17,16.5,20,78,202,41,11.2,0.169,96.57,922,3.8,1.2,0.8,0.2,0.81,4.38,0.7,0.3,11.4,8.1,2.3,1.59,0.2,0,0.3,,,,,,,,,0,,,0,,,Rashad,Vaughn,0
4033,Raul Neto,16-17,16.5,25,73,179,40,8.6,0.14,97.14,699,2.3,2.4,0.8,1,0.65,4.54,0.5,0.2,15.7,6.3,4.33,4.17,0.1,0,0.3,,,,,,,,,0,,,0,,,Raul,Neto,0
4034,Raymond Felton,16-17,16.5,33,73,205,80,21.2,0.163,98.42,3476,6.4,4.3,2.3,1.2,1.51,4.28,2.5,0.7,42.1,18.8,4.23,3.78,0.2,0.1,0.5,,,,,,,,,0,,,0,,,Raymond,Felton,0
4035,Reggie Bullock,16-17,16.5,26,79,205,31,15.1,0.128,97.64,953,4.1,0.4,0.1,0.2,1.1,4.41,0.4,0,17.2,12.8,1.52,0.48,0.6,0,0.9,,,,,,,,,0,,,0,,,Reggie,Bullock,0
4036,Reggie Jackson,16-17,16.5,27,75,208,52,27.4,0.261,96.18,2856,13,11.2,5.7,3.1,1.92,4.21,6.3,2,66.6,17.6,5.75,5.69,0.1,0.1,0.5,Pistons,2016-10-26,2016-12-02,37,Knee_injury,,,,0,,,0,,,Reggie,Jackson,0
4037,Reggie Williams,16-17,16.5,30,78,205,6,13.2,0.128,102.1,170,3.8,1.7,0.8,0.2,0.97,4.39,1,0.2,16,12.8,2.08,1.3,0,0.2,0.3,,,,,,,,,0,,,0,,,Reggie,Williams,0
4038,Richard Jefferson,16-17,16.5,37,79,233,79,20.4,0.121,98.18,3300,4.3,1.7,0.7,0.6,1.33,3.92,0.4,0.2,22.4,14.3,1.81,0.53,0.7,0.2,1.3,,,,,,,,,0,,,0,,,Richard,Jefferson,0
4039,Richaun Holmes,16-17,16.5,23,82,245,57,20.9,0.184,100.99,2487,7.2,0.7,0.5,0.1,1.47,4.22,0.2,0,35,25,1.44,0.4,5.2,0.7,6.1,,,,,,,,,0,,,0,,,Richaun,Holmes,0
4040,Ricky Rubio,16-17,16.5,26,76,190,75,32.9,0.171,95.82,4942,8.7,9.1,1.9,4.5,2.35,4.28,3.7,0.4,82.4,24.6,5.75,5.53,0.6,0,0.9,,,,,,,,,0,,,0,,,Ricky,Rubio,0
4041,Robert Covington,16-17,16.5,26,81,215,67,31.6,0.188,100.72,4436,10.9,4.3,1.7,1.3,2.24,4.26,0.8,0.5,49.6,31.9,1.56,0.66,1,0.1,2.4,76ers,2017-03-12,2017-03-14,2,Sore_knee,2016-12-02,76ers,sprained left ankle (DTD),0,ankle,Leg,1,2016,12,Robert,Covington,0
4042,Robert Covington,16-17,16.5,26,81,215,67,31.6,0.188,100.72,4436,10.9,4.3,1.7,1.3,2.24,4.26,0.8,0.5,49.6,31.9,1.56,0.66,1,0.1,2.4,76ers,2017-03-12,2017-03-14,2,Sore_knee,2016-12-03,76ers,sprained left knee (DTD),0,knee,Leg,1,2016,12,Robert,Covington,0
4043,Robert Covington,16-17,16.5,26,81,215,67,31.6,0.188,100.72,4436,10.9,4.3,1.7,1.3,2.24,4.26,0.8,0.5,49.6,31.9,1.56,0.66,1,0.1,2.4,76ers,2017-03-12,2017-03-14,2,Sore_knee,2017-02-01,76ers,bruised right hand/wrist (DTD),0,hand and wrist,Others,1,2017,2,Robert,Covington,0
4045,Robert Covington,16-17,16.5,26,81,215,67,31.6,0.188,100.72,4436,10.9,4.3,1.7,1.3,2.24,4.26,0.8,0.5,49.6,31.9,1.56,0.66,1,0.1,2.4,76ers,2017-03-12,2017-03-14,2,Sore_knee,2017-03-29,76ers,swelling in right knee (out for season),1,knee,Leg,1,2017,3,Robert,Covington,0
4047,Robin Lopez,16-17,16.5,29,84,255,81,28,0.172,96.04,4549,9.6,0.7,0.4,0.1,1.9,4.08,0.4,0,32.8,24.1,1.56,0.48,3.8,2.8,7.2,,,,,,,,,0,,,0,,,Robin,Lopez,0
4048,Rodney Hood,16-17,16.5,24,80,206,59,27,0.227,92.76,3072,11.3,6.2,3.1,1.8,1.91,4.25,4.3,1.7,38.4,28.4,3.48,2.53,0.6,0.4,0.8,Jazz,2017-04-09,2017-04-12,3,Sore_knee,2016-11-14,Jazz,placed on IL with illness,0,other,Others,1,2016,11,Rodney,Hood,0
4049,Rodney Hood,16-17,16.5,24,80,206,59,27,0.227,92.76,3072,11.3,6.2,3.1,1.8,1.91,4.25,4.3,1.7,38.4,28.4,3.48,2.53,0.6,0.4,0.8,Jazz,2017-04-09,2017-04-12,3,Sore_knee,2016-12-01,Jazz,strained right hamstring (DTD),0,hamstring,Leg,1,2016,12,Rodney,Hood,0
4052,Rodney Hood,16-17,16.5,24,80,206,59,27,0.227,92.76,3072,11.3,6.2,3.1,1.8,1.91,4.25,4.3,1.7,38.4,28.4,3.48,2.53,0.6,0.4,0.8,Jazz,2017-04-09,2017-04-12,3,Sore_knee,2017-01-15,Jazz,bruised right knee (DTD),0,knee,Leg,1,2017,1,Rodney,Hood,0
4096,Rodney McGruder,16-17,16.5,25,76,205,78,25.2,0.123,95.59,3912,5.9,2.9,1.1,1,1.94,4.63,0.7,0.2,26.6,18.3,2,1.29,0.7,0.1,2.2,Heat,2016-12-19,2016-12-27,8,Sprained_ankle,2016-12-07,Heat,sore ankle (DTD),0,ankle,Leg,1,2016,12,Rodney,McGruder,0
4098,Rodney McGruder,16-17,16.5,25,76,205,78,25.2,0.123,95.59,3912,5.9,2.9,1.1,1,1.94,4.63,0.7,0.2,26.6,18.3,2,1.29,0.7,0.1,2.2,Heat,2016-12-19,2016-12-27,8,Sprained_ankle,2017-10-12,Heat,surgery on lower left leg to repair stress fracture (out indefinitely) (date approximate),1,leg and leg,Others,1,2017,10,Rodney,McGruder,0
4099,Rodney Stuckey,16-17,16.5,31,77,205,39,17.9,0.218,97.08,1411,6.3,3.4,1.5,0.8,1.19,4,2.6,0.3,37,17.3,4.39,3.74,0.4,0.2,0.3,,,,,,,,,0,,,0,,,Rodney,Stuckey,0
4100,Ron Baker,16-17,16.5,24,76,220,52,16.5,0.149,96.22,1710,4.2,3.5,1.1,1.3,1.24,4.52,1,0.3,33.7,15,4.04,3.8,0.5,0.2,0.5,,,,,,,,,0,,,0,,,Ron,Baker,0
4101,Rondae Hollis-Jefferson,16-17,16.5,22,79,214,78,22.6,0.185,104.29,3801,6.9,4.3,1.7,1.2,1.71,4.55,0.9,0.1,46.6,23.7,2.1,1.36,1.4,1.3,3.4,,,,,,,,,0,,,0,,,Rondae,Hollis-Jefferson,0
4102,Ronnie Price,16-17,16.5,34,74,190,14,9.6,0.085,103.01,289,1.7,1.1,0.3,0.6,0.71,4.48,0.4,0.3,17.3,7.9,3.8,3.32,0,0,0.1,,,,,,,,,0,,,0,,,Ronnie,Price,0
4103,Roy Hibbert,16-17,16.5,30,86,270,48,14.2,0.136,99.4,1416,3.1,0.2,0,0.1,0.97,4.13,0.2,,11.5,8.6,1.46,0.37,1,1.8,3.6,,,,,,,,,0,,,0,,,Roy,Hibbert,0
4104,Rudy Gay,16-17,16.5,30,80,230,30,33.8,0.246,96.48,2045,14.7,6,3.2,1.1,2.36,4.21,4.1,0.7,57.5,40.7,2.72,1.58,2.3,4.4,3,,,,,,,,,0,,,0,,,Rudy,Gay,0
4105,Rudy Gobert,16-17,16.5,25,85,245,81,33.9,0.166,91.77,5246,7.7,0.8,0.3,0.2,2.39,4.25,0,0,58.6,32.8,1.49,0.3,5.8,0.8,11.3,,,,,,,,,0,,,0,,,Rudy,Gobert,0
4106,Russell Westbrook,16-17,16.5,28,75,200,81,34.6,0.402,100.39,5854,24,20.1,6.2,7.9,2.37,4.13,12.4,5,94.8,29,5.83,5.22,2,1.9,2.6,,,,,,,,,0,,,0,,,Russell,Westbrook,0
4107,Ryan Anderson,16-17,16.5,29,82,240,72,29.4,0.178,100.3,4428,10.7,1.7,0.7,0.5,1.95,4.01,1.8,0.5,40.2,26,1.57,0.67,0.4,0.9,2.2,,,,,,,,,0,,,0,,,Ryan,Anderson,0
4108,Ryan Kelly,16-17,16.5,26,83,230,16,6.9,0.142,98.5,225,1.8,0.4,0.3,0.1,0.46,4.03,0.3,0,11.1,6.7,1.5,0.48,0.8,0.4,0.6,,,,,,,,,0,,,0,,,Ryan,Kelly,0
4109,Salah Mejri,16-17,16.5,31,86,245,73,12.4,0.105,93.05,1750,1.9,0.2,0.1,0.1,0.86,4.21,0,0,16.1,7.4,1.5,0.33,1.3,0.2,2.9,,,,,,,,,0,,,0,,,Salah,Mejri,0
4110,Sam Dekker,16-17,16.5,23,81,230,77,18.4,0.148,101.63,2988,5.6,1.8,0.9,0.5,1.41,4.6,0.4,0.3,24.8,13.1,1.55,0.7,0.4,0.1,2,,,,,,,,,0,,,0,,,Sam,Dekker,0
4111,Sasha Vujacic,16-17,16.5,33,79,195,42,9.7,0.168,99.24,838,3.2,0.9,0.2,0.4,0.71,4.39,1.2,0.4,18,11.1,3.02,2.52,0.2,0,0.2,,,,,,,,,0,,,0,,,Sasha,Vujacic,0
4112,Sean Kilpatrick,16-17,16.5,27,76,219,70,25.1,0.232,102.66,3755,10.5,6.5,2.6,2.1,1.79,4.29,2.7,1.2,44.6,28.1,3.39,3.01,0.8,0.2,1,,,,,,,,,0,,,0,,,Sean,Kilpatrick,0
4113,Semaj Christon,16-17,16.5,24,75,190,64,15.2,0.123,97.02,1958,3.5,3.2,1.3,1.3,1.07,4.24,1.2,0.2,32,10.9,5.41,5.11,0.3,0,0.5,,,,,,,,,0,,,0,,,Semaj,Christon,0
4114,Serge Ibaka,16-17,16.5,27,82,235,79,30.7,0.208,96.47,4868,12.4,1.5,0.8,0.3,2.07,4.07,1.5,0,49.2,30.3,1.6,0.33,2.1,3.8,4.5,,,,,,,,,0,,,0,,,Serge,Ibaka,0
4115,Sergio Rodriguez,16-17,16.5,31,75,176,68,22.3,0.189,98.76,3130,7.9,7.8,2.1,3.8,1.79,4.83,4.4,2.3,64.6,24.6,4.58,4.77,0.2,0,0.4,,,,,,,,,0,,,0,,,Sergio,Rodriguez,0
4116,Seth Curry,16-17,16.5,26,74,185,70,29,0.193,93.62,3944,10,5.4,2.8,1.8,2.06,4.25,4.1,1.5,52.1,26.3,4.71,4.41,0.4,0,0.3,,,,,,,,,0,,,0,,,Seth,Curry,0
4117,Shabazz Muhammad,16-17,16.5,24,78,223,78,19.4,0.209,96.95,3048,7.7,1.9,1.2,0.3,1.4,4.33,0.8,0.1,18.7,15,2.09,1.13,0.4,1.9,2.7,,,,,,,,,0,,,0,,,Shabazz,Muhammad,0
