,PLAYER_NAME,SEASON,SEASON_NUM,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURED_TYPE,Date,Team,Notes,Out Indefinitely,injury_type,body_part,Injured,year,month,first_name,last_name,lower body injury
2012,LaMarcus Aldridge,18-19,18.5,33,83,260,81,33.2,0.268,98.36,5509,16.3,0.9,0.6,0.2,2.35,4.05,5,0.1,56.2,39.5,2.02,0.81,3.6,12.4,8.7,,,,,,,,,0,,,0,,,LaMarcus,Aldridge,0
2013,Lance Stephenson,18-19,18.5,28,78,230,68,16.5,0.197,106.43,2490,6.4,4,1.5,1.7,1.19,4.01,2.4,1,28.1,13.6,3.9,3.34,0.3,0.1,0.7,,,,,,,,,0,,,0,,,Lance,Stephenson,0
2014,Lance Thomas,18-19,18.5,31,80,240,46,17,0.127,102.08,1662,4.3,1.3,0.8,0.2,1.35,4.47,0.7,0,23.5,12.2,1.6,0.54,0.5,0.6,1,,,,,,,,,0,,,0,,,Lance,Thomas,0
2015,Landry Shamet,18-19,18.5,22,77,188,79,22.8,0.145,103.64,3889,7.1,1.7,0.7,0.8,1.89,4.63,1.8,1,25.3,19.6,1.97,1.45,0.2,0,0.5,,,,,,,,,0,,,0,,,Landry,Shamet,0
2016,Langston Galloway,18-19,18.5,27,74,200,80,21.8,0.153,99.96,3650,7.3,2.1,1,0.9,1.71,4.4,1.5,0.4,23.9,19.3,1.82,1.2,0.2,0,0.5,,,,,,,,,0,,,0,,,Langston,Galloway,0
2017,Larry Nance Jr.,18-19,18.5,26,81,230,67,26.8,0.152,97.93,3663,7.1,1.8,0.7,0.8,1.93,4.13,0.7,0.2,48.4,27.4,2.37,1.2,5.9,2.1,6.3,Cavaliers,2018-10-17,2018-10-21,4,Sprained_ankle,2018-10-17,Cavaliers,placed on IL with sprained right ankle,0,ankle,Leg,1,2018,10,Larry,Nance Jr.,0
2018,Larry Nance Jr.,18-19,18.5,26,81,230,67,26.8,0.152,97.93,3663,7.1,1.8,0.7,0.8,1.93,4.13,0.7,0.2,48.4,27.4,2.37,1.2,5.9,2.1,6.3,Cavaliers,2018-10-17,2018-10-21,4,Sprained_ankle,2019-01-09,Cavaliers,placed on IL with sprained MCL in right knee,0,knee,Leg,1,2019,1,Larry,Nance Jr.,0
2019,Larry Nance Jr.,18-19,18.5,26,81,230,67,26.8,0.152,97.93,3663,7.1,1.8,0.7,0.8,1.93,4.13,0.7,0.2,48.4,27.4,2.37,1.2,5.9,2.1,6.3,Cavaliers,2018-10-17,2018-10-21,4,Sprained_ankle,2019-03-10,Cavaliers,rib injury (DTD),0,rib,Upper Body,1,2019,3,Larry,Nance Jr.,0
2021,Lauri Markkanen,18-19,18.5,22,84,240,52,32.3,0.245,99.33,3478,15.3,6,3.6,1.3,2.41,4.2,2.7,0.4,66.2,34.7,2.02,1.05,1.2,2.5,2.9,,,,,,,,,0,,,0,,,Lauri,Markkanen,0
2022,LeBron James,18-19,18.5,34,80,250,55,35.2,0.311,104.12,4218,19.9,12.4,5.9,4,2.37,3.78,7.4,3.9,85,37.4,4.52,3.32,2.6,2.9,2.8,,,,,,,,,0,,,0,,,LeBron,James,0
2023,Lonnie Walker IV,18-19,18.5,20,77,205,17,6.9,0.196,102.28,254,2.7,1.5,0.6,0.6,0.53,4.24,1.1,0.2,12.1,5.5,4.91,3.88,0,0,0.3,Spurs,2019-02-07,2019-02-12,5,Sprained_ankle,2018-10-17,Spurs,placed on IL with right knee injury,0,knee,Leg,1,2018,10,Lonnie,Walker IV,0
2024,Lonnie Walker IV,18-19,18.5,20,77,205,17,6.9,0.196,102.28,254,2.7,1.5,0.6,0.6,0.53,4.24,1.1,0.2,12.1,5.5,4.91,3.88,0,0,0.3,Spurs,2019-02-07,2019-02-12,5,Sprained_ankle,2019-02-07,Spurs,placed on IL with sprained right ankle,0,ankle,Leg,1,2019,2,Lonnie,Walker IV,0
2025,Lonzo Ball,18-19,18.5,21,78,190,47,30.3,0.167,104.67,3105,9.7,5,1.8,2.5,2.35,4.38,2.6,1.6,64.5,27.4,3.14,2.45,0.9,0.5,2.2,,,,,,,,,0,,,0,,,Lonzo,Ball,0
2026,Lorenzo Brown,18-19,18.5,28,77,189,26,8.2,0.167,104.28,460,2.7,1.7,0.7,0.6,0.66,4.51,0.9,0.5,15.6,7.5,4,3.4,0,0,0.3,,,,,,,,,0,,,0,,,Lorenzo,Brown,0
2027,Lou Williams,18-19,18.5,32,73,175,75,26.6,0.308,105.69,4399,15.2,12.3,6.4,3.8,1.9,3.97,7.5,2.1,58.1,26.7,4.64,3.9,0.4,0,0.5,,,,,,,,,0,,,0,,,Lou,Williams,0
2028,Luc Mbah a Moute,18-19,18.5,32,80,230,4,15.3,0.141,110.95,141,4.5,3,1.3,1,1.15,4.22,0.8,0.5,15.8,10.5,1.67,0.94,1,0,0.8,,,,,,,,,0,,,0,,,Luc,Mbah a Moute,0
2029,Luka Doncic,18-19,18.5,20,79,218,72,32.2,0.296,100.99,4891,16.5,14.7,5.7,6.4,2.33,4.06,7.8,5.3,83.8,36.2,4.65,4.02,1.7,1.7,1.9,Mavericks,2019-01-31,2019-02-02,2,Sore_ankle,2018-12-02,Mavericks,placed on IL with strained right hip,0,hip,Lower Body,1,2018,12,Luka,Doncic,1
2030,Luka Doncic,18-19,18.5,20,79,218,72,32.2,0.296,100.99,4891,16.5,14.7,5.7,6.4,2.33,4.06,7.8,5.3,83.8,36.2,4.65,4.02,1.7,1.7,1.9,Mavericks,2019-01-31,2019-02-02,2,Sore_ankle,2019-01-31,Mavericks,sore left ankle (DTD),0,ankle,Leg,1,2019,1,Luka,Doncic,0
2032,Luka Doncic,18-19,18.5,20,79,218,72,32.2,0.296,100.99,4891,16.5,14.7,5.7,6.4,2.33,4.06,7.8,5.3,83.8,36.2,4.65,4.02,1.7,1.7,1.9,Mavericks,2019-01-31,2019-02-02,2,Sore_ankle,2019-03-16,Mavericks,placed on IL with bruised right knee,0,knee,Leg,1,2019,3,Luka,Doncic,0
2033,Luka Doncic,18-19,18.5,20,79,218,72,32.2,0.296,100.99,4891,16.5,14.7,5.7,6.4,2.33,4.06,7.8,5.3,83.8,36.2,4.65,4.02,1.7,1.7,1.9,Mavericks,2019-01-31,2019-02-02,2,Sore_ankle,2019-03-30,Mavericks,bruised right thigh (DTD),0,thigh and thigh,Others,1,2019,3,Luka,Doncic,0
2036,Luka Doncic,18-19,18.5,20,79,218,72,32.2,0.296,100.99,4891,16.5,14.7,5.7,6.4,2.33,4.06,7.8,5.3,83.8,36.2,4.65,4.02,1.7,1.7,1.9,Mavericks,2019-01-31,2019-02-02,2,Sore_ankle,2019-04-10,Mavericks,left thigh injury (out for season),1,thigh and thigh,Others,1,2019,4,Luka,Doncic,0
2037,Luke Kennard,18-19,18.5,23,77,206,63,22.8,0.179,97.34,2933,8.3,4.2,1.4,2.2,1.7,4.25,3.5,1.2,31.8,24.9,2.7,1.73,0.3,0,0.4,,,,,,,,,0,,,0,,,Luke,Kennard,0
2038,Luke Kornet,18-19,18.5,23,85,250,46,17,0.178,101.94,1666,6.2,0.9,0.4,0.3,1.25,4.24,0.9,0.3,30.2,19.2,1.43,0.45,0.7,0.9,1.5,Knicks,2019-01-23,2019-02-01,9,Sprained_ankle,2019-01-22,Knicks,sprained left ankle (out indefinitely),1,ankle,Leg,1,2019,1,Luke,Kornet,0
2039,Luke Kornet,18-19,18.5,23,85,250,46,17,0.178,101.94,1666,6.2,0.9,0.4,0.3,1.25,4.24,0.9,0.3,30.2,19.2,1.43,0.45,0.7,0.9,1.5,Knicks,2019-01-23,2019-02-01,9,Sprained_ankle,2019-01-23,Knicks,placed on IL with sprained left ankle,0,ankle,Leg,1,2019,1,Luke,Kornet,0
2040,Luol Deng,18-19,18.5,34,81,237,22,17.8,0.155,100.84,826,5.4,1.3,0.6,0.4,1.36,4.23,0.9,0.2,23,13.3,1.96,0.91,0.4,1.2,1.6,,,,,,,,,0,,,0,,,Luol,Deng,0
2041,Malachi Richardson,18-19,18.5,23,78,205,22,4.7,0.142,110.46,238,1.3,0.4,0.1,0.2,0.36,4.18,0.3,0.2,5.7,4.2,1.91,1.03,0,0,0,,,,,,,,,0,,,0,,,Malachi,Richardson,0
2042,Malcolm Brogdon,18-19,18.5,26,77,229,64,28.6,0.202,104.93,4002,11.7,10.1,5,3.7,2.17,4.25,1.9,0.9,52.3,25.6,3.74,3.35,0.5,0.2,1.5,,,,,,,,,0,,,0,,,Malcolm,Brogdon,0
2043,Malcolm Miller,18-19,18.5,26,79,210,10,6.7,0.18,104.8,146,2.6,0.4,0.3,0.1,0.56,4.64,0.2,0.1,8.5,5.5,1.64,0.62,0,0,0.2,,,,,,,,,0,,,0,,,Malcolm,Miller,0
2044,Malik Beasley,18-19,18.5,22,77,195,81,23.2,0.181,100.59,3929,9.1,2.5,1.5,0.5,1.72,4.14,2.2,0.9,24.9,19.4,2.01,1.23,0.3,0,0.6,,,,,,,,,0,,,0,,,Malik,Beasley,0
2045,Malik Monk,18-19,18.5,21,75,200,73,17.2,0.236,102.17,2691,8,5.1,1.8,2.2,1.34,4.34,2.6,1.4,23,16.1,2.88,2.56,0.2,0,0.4,,,,,,,,,0,,,0,,,Malik,Monk,0
2046,MarShon Brooks,18-19,18.5,30,77,200,29,13.3,0.233,97.12,782,5.8,4,2,1.4,0.98,4.14,2.4,1,21.7,13.6,3.87,2.98,0.4,0,0.8,,,,,,,,,0,,,0,,,MarShon,Brooks,0
2047,Marc Gasol,18-19,18.5,34,85,255,79,30.8,0.21,97.16,4924,11,1.5,0.8,0.5,2.01,3.67,1.4,0.1,74,49.2,1.66,0.45,7.8,6.5,5.7,,,,,,,,,0,,,0,,,Marc,Gasol,0
2048,Marcin Gortat,18-19,18.5,35,83,240,47,16,0.148,99.94,1564,4,0.1,0.1,0,1.2,4.28,0.1,,34.9,20,1.49,0.38,3,1.2,4.6,,,,,,,,,0,,,0,,,Marcin,Gortat,0
2049,Marco Belinelli,18-19,18.5,33,77,210,79,23,0.187,102.39,3873,8.7,2,0.9,0.7,1.81,4.48,3.2,1.6,32,22.7,2.42,1.65,0.8,0.1,0.7,,,,,,,,,0,,,0,,,Marco,Belinelli,0
2050,Marcus Derrickson,18-19,18.5,23,79,249,11,6.1,0.233,99.46,140,3,0,0,0,0.45,4.16,0.9,0.4,8.1,6,1.92,0.81,0.5,0.9,0.9,,,,,,,,,0,,,0,,,Marcus,Derrickson,0
2051,Marcus Morris Sr.,18-19,18.5,29,81,235,75,27.9,0.203,101.87,4442,11.3,3.1,1.9,0.6,2.02,4.1,3.5,0.9,43.9,25.4,2.01,1.02,1.1,1.5,1.9,,,,,,,,,0,,,0,,,Marcus,Morris Sr.,0
2052,Marcus Smart,18-19,18.5,25,76,220,80,27.5,0.144,101.24,4633,7.1,3.5,1.1,1.8,1.99,4.09,1.7,1.1,46.6,23.8,3.39,2.59,0.6,1,1.7,,,,,,,,,0,,,0,,,Marcus,Smart,0
2053,Mario Hezonja,18-19,18.5,24,80,225,58,20.8,0.208,100.79,2529,8,4.7,2.6,1.2,1.59,4.31,2.1,0.7,38.4,18.3,3.05,2.02,0.6,0.2,1.3,,,,,,,,,0,,,0,,,Mario,Hezonja,0
2054,Markelle Fultz,18-19,18.5,21,76,200,19,22.5,0.189,104.69,929,8.2,7.4,3.5,2.8,1.86,4.64,3.3,0.1,52.3,18.2,4.72,4.51,0.6,0.2,2.3,,,,,,,,,0,,,0,,,Markelle,Fultz,0
2055,Markieff Morris,18-19,18.5,29,82,245,58,21.9,0.191,102.63,2716,8.3,1.1,0.7,0.3,1.51,3.84,1.1,0.1,31.8,19.7,1.45,0.51,1.4,2.9,2.6,,,,,,,,,0,,,0,,,Markieff,Morris,0
2056,Marquese Chriss,18-19,18.5,21,82,240,43,11.6,0.196,100.42,1048,4.2,0.7,0.3,0.1,0.88,4.27,0.1,0.1,20.4,10.5,1.5,0.52,0.7,0.4,2.7,Rockets,2018-12-07,2018-12-17,10,Sprained_ankle,2018-10-16,Rockets,sprained left ankle (DTD),0,ankle,Leg,1,2018,10,Marquese,Chriss,0
2060,Marvin Bagley III,18-19,18.5,20,83,234,62,25.3,0.237,104.19,3405,11.4,1.8,1.1,0.2,1.99,4.39,1.4,0.2,39.3,23.3,2.07,0.85,3.3,5.5,5.9,Kings,2018-12-16,2019-01-07,22,Knee_injury,2018-12-01,Kings,placed on IL with back spasms,0,back,Back,1,2018,12,Marvin,Bagley III,0
2061,Marvin Bagley III,18-19,18.5,20,83,234,62,25.3,0.237,104.19,3405,11.4,1.8,1.1,0.2,1.99,4.39,1.4,0.2,39.3,23.3,2.07,0.85,3.3,5.5,5.9,Kings,2018-12-16,2019-01-07,22,Knee_injury,2018-12-15,Kings,left knee injury (DTD),0,knee,Leg,1,2018,12,Marvin,Bagley III,0
2065,Marvin Bagley III,18-19,18.5,20,83,234,62,25.3,0.237,104.19,3405,11.4,1.8,1.1,0.2,1.99,4.39,1.4,0.2,39.3,23.3,2.07,0.85,3.3,5.5,5.9,Kings,2018-12-16,2019-01-07,22,Knee_injury,2019-03-31,Kings,placed on IL with illness,0,other,Others,1,2019,3,Marvin,Bagley III,0
2066,Marvin Williams,18-19,18.5,33,81,237,75,28.4,0.147,99.73,4437,8.7,1.3,1,0.2,2.04,4.06,0.8,0.2,37.1,23.4,1.28,0.47,0.6,1.1,1.7,,,,,,,,,0,,,0,,,Marvin,Williams,0
2067,Mason Plumlee,18-19,18.5,29,83,235,82,21.1,0.159,99.6,3571,5.4,1.3,0.5,0.5,1.57,4.16,0.4,0,38.2,24.4,2.13,0.96,2.8,3.3,6.2,,,,,,,,,0,,,0,,,Mason,Plumlee,0
2068,Matthew Dellavedova,18-19,18.5,28,76,200,48,16.9,0.173,100.71,1705,5,4.8,1.9,2.2,1.27,4.2,1.7,0.9,39,14.8,4.99,4.78,0.1,0.3,0.3,Cavaliers,2018-12-19,2018-12-21,2,Sore_knee,2018-12-19,Cavaliers,sore left knee (DTD),0,knee,Leg,1,2018,12,Matthew,Dellavedova,0
2069,Matthew Dellavedova,18-19,18.5,28,76,200,48,16.9,0.173,100.71,1705,5,4.8,1.9,2.2,1.27,4.2,1.7,0.9,39,14.8,4.99,4.78,0.1,0.3,0.3,Cavaliers,2018-12-19,2018-12-21,2,Sore_knee,2019-01-04,Cavaliers,sprained left foot (DTD),0,foot,Foot,1,2019,1,Matthew,Dellavedova,0
2070,Matthew Dellavedova,18-19,18.5,28,76,200,48,16.9,0.173,100.71,1705,5,4.8,1.9,2.2,1.27,4.2,1.7,0.9,39,14.8,4.99,4.78,0.1,0.3,0.3,Cavaliers,2018-12-19,2018-12-21,2,Sore_knee,2019-03-07,Cavaliers,concussion (out for season),1,concussion,Head,1,2019,3,Matthew,Dellavedova,0
2072,Maurice Harkless,18-19,18.5,26,81,220,60,23.6,0.135,101.67,2998,6.5,1.5,0.8,0.4,1.79,4.25,0.4,0.1,29.1,17.4,1.82,0.82,0.7,1.5,2.9,,,,,,,,,0,,,0,,,Maurice,Harkless,0
2073,Maxi Kleber,18-19,18.5,27,83,240,71,21.2,0.132,100.35,3131,5.4,1.2,0.5,0.4,1.57,4.14,0.5,0.1,35.7,20.1,1.36,0.33,0.6,0.6,2.1,Mavericks,2018-12-02,2018-12-04,2,Sore_knee,2018-11-30,Mavericks,sore right knee (DTD),0,knee,Leg,1,2018,11,Maxi,Kleber,0
2075,Maxi Kleber,18-19,18.5,27,83,240,71,21.2,0.132,100.35,3131,5.4,1.2,0.5,0.4,1.57,4.14,0.5,0.1,35.7,20.1,1.36,0.33,0.6,0.6,2.1,Mavericks,2018-12-02,2018-12-04,2,Sore_knee,2018-12-08,Mavericks,placed on IL with left big toe injury,0,toe and toe,Others,1,2018,12,Maxi,Kleber,0
2077,Maxi Kleber,18-19,18.5,27,83,240,71,21.2,0.132,100.35,3131,5.4,1.2,0.5,0.4,1.57,4.14,0.5,0.1,35.7,20.1,1.36,0.33,0.6,0.6,2.1,Mavericks,2018-12-02,2018-12-04,2,Sore_knee,2019-02-23,Mavericks,placed on IL with illness,0,other,Others,1,2019,2,Maxi,Kleber,0
2079,Maxi Kleber,18-19,18.5,27,83,240,71,21.2,0.132,100.35,3131,5.4,1.2,0.5,0.4,1.57,4.14,0.5,0.1,35.7,20.1,1.36,0.33,0.6,0.6,2.1,Mavericks,2018-12-02,2018-12-04,2,Sore_knee,2019-03-20,Mavericks,placed on IL with sprained left wrist,0,wrist,Hand,1,2019,3,Maxi,Kleber,0
2082,Maxi Kleber,18-19,18.5,27,83,240,71,21.2,0.132,100.35,3131,5.4,1.2,0.5,0.4,1.57,4.14,0.5,0.1,35.7,20.1,1.36,0.33,0.6,0.6,2.1,Mavericks,2018-12-02,2018-12-04,2,Sore_knee,2019-04-10,Mavericks,placed on IL with sore left knee (out for season),1,knee,Leg,1,2019,4,Maxi,Kleber,0
2093,Melvin Frazier Jr.,18-19,18.5,22,78,200,10,4.4,0.205,104.79,99,2.1,0.8,0.5,0.2,0.37,4.54,0.5,0.1,4.6,4.1,2.23,1.48,0.3,0,0.6,,,,,,,,,0,,,0,,,Melvin,Frazier Jr.,0
2094,Meyers Leonard,18-19,18.5,27,85,255,61,14.4,0.149,100.3,1830,4,0.4,0.2,0.1,1,3.89,0.3,0.1,25.4,15.6,1.71,0.38,1.1,0.6,2.4,,,,,,,,,0,,,0,,,Meyers,Leonard,0
2095,Michael Beasley,18-19,18.5,30,81,235,26,10.7,0.288,103.53,597,5.9,3.7,2.6,0.7,0.81,4.29,1.1,0.2,19.3,12,2.35,1.4,1.7,1.4,1.6,,,,,,,,,0,,,0,,,Michael,Beasley,0
2096,Michael Carter-Williams,18-19,18.5,27,78,190,28,13.3,0.176,105.79,820,4.4,5.9,2,2.8,1.06,4.46,0.8,0.4,30,8.9,4.97,4.59,0.2,0.1,0.8,,,,,,,,,0,,,0,,,Michael,Carter-Williams,0
2097,Michael Kidd-Gilchrist,18-19,18.5,25,79,232,64,18.4,0.153,100.91,2467,5.2,2.1,1.4,0.4,1.44,4.35,0.5,0.1,25.6,14.1,1.74,0.99,0.9,0.4,2.7,Hornets,2018-11-13,2018-11-26,13,Sprained_ankle,2018-11-12,Hornets,sprained right ankle (DTD),0,ankle,Leg,1,2018,11,Michael,Kidd-Gilchrist,0
2099,Michael Kidd-Gilchrist,18-19,18.5,25,79,232,64,18.4,0.153,100.91,2467,5.2,2.1,1.4,0.4,1.44,4.35,0.5,0.1,25.6,14.1,1.74,0.99,0.9,0.4,2.7,Hornets,2018-11-13,2018-11-26,13,Sprained_ankle,2019-03-09,Hornets,placed on IL with strained left knee,0,knee,Leg,1,2019,3,Michael,Kidd-Gilchrist,0
2100,Michael Kidd-Gilchrist,18-19,18.5,25,79,232,64,18.4,0.153,100.91,2467,5.2,2.1,1.4,0.4,1.44,4.35,0.5,0.1,25.6,14.1,1.74,0.99,0.9,0.4,2.7,Hornets,2018-11-13,2018-11-26,13,Sprained_ankle,2019-03-20,Hornets,concussion (DTD),0,concussion,Head,1,2019,3,Michael,Kidd-Gilchrist,0
2102,Mikal Bridges,18-19,18.5,22,79,210,82,29.5,0.119,102.19,5128,6.9,2.6,1.2,1,2.27,4.32,0.9,0.4,37.5,23.8,1.8,0.89,0.6,0.2,1.1,,,,,,,,,0,,,0,,,Mikal,Bridges,0
2103,Mike Conley,18-19,18.5,31,73,175,70,33.5,0.262,98.11,4782,16,13.3,6.1,5.2,2.58,4.31,7.5,3.4,83.2,38.2,4.8,4.37,1,0.1,0.8,Grizzlies,2019-02-01,2019-02-03,2,Sore_knee,,,,0,,,0,,,Mike,Conley,0
2104,Mike Muscala,18-19,18.5,27,83,240,64,20.4,0.138,105.03,2859,5.6,0.4,0.2,0.2,1.64,4.49,0.1,0,37.8,19.8,1.2,0.23,1.3,0.3,1.7,Lakers,2019-02-21,2019-02-23,2,Sprained_ankle,2019-02-21,Lakers,placed on IL with sprained right ankle,0,ankle,Leg,1,2019,2,Mike,Muscala,0
2107,Mike Muscala,18-19,18.5,27,83,240,64,20.4,0.138,105.03,2859,5.6,0.4,0.2,0.2,1.64,4.49,0.1,0,37.8,19.8,1.2,0.23,1.3,0.3,1.7,76ers,2018-10-16,2018-10-23,7,Sprained_ankle,2018-10-16,76ers,placed on IL with sprained right ankle,0,ankle,Leg,1,2018,10,Mike,Muscala,0
2108,Mike Muscala,18-19,18.5,27,83,240,64,20.4,0.138,105.03,2859,5.6,0.4,0.2,0.2,1.64,4.49,0.1,0,37.8,19.8,1.2,0.23,1.3,0.3,1.7,76ers,2018-10-16,2018-10-23,7,Sprained_ankle,2018-11-07,76ers,placed on IL with fractured nose,0,nose and nose,Others,1,2018,11,Mike,Muscala,0
2110,Mike Muscala,18-19,18.5,27,83,240,64,20.4,0.138,105.03,2859,5.6,0.4,0.2,0.2,1.64,4.49,0.1,0,37.8,19.8,1.2,0.23,1.3,0.3,1.7,76ers,2018-10-16,2018-10-23,7,Sprained_ankle,2018-12-12,76ers,illness (DTD),0,other,Others,1,2018,12,Mike,Muscala,0
2111,Mike Scott,18-19,18.5,30,80,237,79,17.7,0.139,105.42,3060,5.3,0.8,0.4,0.2,1.36,4.3,0.7,0.3,25.9,14,1.51,0.68,0.6,0.5,0.9,,,,,,,,,0,,,0,,,Mike,Scott,0
2112,Miles Bridges,18-19,18.5,21,79,225,80,21.2,0.147,101.3,3582,6.4,2.6,1.5,0.7,1.65,4.39,0.9,0.5,26.3,16.4,1.76,0.88,0.4,0.6,1.8,,,,,,,,,0,,,0,,,Miles,Bridges,0
2113,Miles Plumlee,18-19,18.5,30,83,249,18,9.6,0.166,107.84,387,2.7,0.4,0.3,0.1,0.79,4.57,0,,18.1,11.1,1.63,0.47,1.8,0.2,3.7,,,,,,,,,0,,,0,,,Miles,Plumlee,0
2114,Milos Teodosic,18-19,18.5,32,77,196,15,10,0.171,106.72,337,2.7,2.7,0.4,1.9,0.79,4.4,0.9,0.5,22.6,9.7,3.71,3.22,0,0,0.1,,,,,,,,,0,,,0,,,Milos,Teodosic,0
2115,Mitchell Creek,18-19,18.5,27,78,225,5,9.4,0.169,102.82,100,3.2,1.2,0.6,0.6,0.74,4.28,0.2,0,11,8,1.81,1.18,1.2,0.2,1,,,,,,,,,0,,,0,,,Mitchell,Creek,0
2116,Mitchell Robinson,18-19,18.5,21,85,240,66,20.6,0.119,101.08,2852,4.4,0,0,0,1.54,4.18,0,,23.6,13.2,1.35,0.28,1.7,0.4,6.2,,,,,,,,,0,,,0,,,Mitchell,Robinson,0
2117,Mo Bamba,18-19,18.5,21,84,221,47,16.3,0.174,99.7,1590,5.2,0.4,0.2,0,1.23,4.23,0.3,0,26.2,14.1,1.58,0.46,2,1,3.4,,,,,,,,,0,,,0,,,Mo,Bamba,0
2118,Monte Morris,18-19,18.5,24,75,175,82,24,0.168,99.16,4071,8.6,5.4,2.8,2.2,1.84,4.29,3.3,0.6,53.5,22.3,4.4,4.21,0.6,0.1,0.6,,,,,,,,,0,,,0,,,Monte,Morris,0
2119,Montrezl Harrell,18-19,18.5,25,80,240,82,26.3,0.227,104.09,4666,10.8,1.5,1,0.1,1.86,3.93,0.7,0.1,48,32,1.97,0.86,4.3,3.9,8.2,,,,,,,,,0,,,0,,,Montrezl,Harrell,0
2120,Moritz Wagner,18-19,18.5,22,83,245,43,10.4,0.21,105.7,982,4,1.5,0.7,0.4,0.78,4.23,0.3,0.1,15.8,9.7,1.66,0.76,0.4,0.7,1.1,,,,,,,,,0,,,0,,,Moritz,Wagner,0
2121,Myles Turner,18-19,18.5,23,83,250,74,28.6,0.199,98.83,4362,10.5,0.7,0.4,0.1,2.07,4.07,0.8,0.1,50.4,29.4,1.44,0.46,3.5,2.3,4.3,Pacers,2018-11-23,2018-11-26,3,Sore_ankle,2018-11-23,Pacers,placed on IL with sore left ankle,0,ankle,Leg,1,2018,11,Myles,Turner,0
2122,Myles Turner,18-19,18.5,23,83,250,74,28.6,0.199,98.83,4362,10.5,0.7,0.4,0.1,2.07,4.07,0.8,0.1,50.4,29.4,1.44,0.46,3.5,2.3,4.3,Pacers,2018-11-23,2018-11-26,3,Sore_ankle,2019-01-06,Pacers,placed on IL with sore right shoulder,0,shoulder,Upper Body,1,2019,1,Myles,Turner,0
2123,Myles Turner,18-19,18.5,23,83,250,74,28.6,0.199,98.83,4362,10.5,0.7,0.4,0.1,2.07,4.07,0.8,0.1,50.4,29.4,1.44,0.46,3.5,2.3,4.3,Pacers,2018-11-23,2018-11-26,3,Sore_ankle,2019-02-22,Pacers,placed on IL with bruised left hip,0,hip,Lower Body,1,2019,2,Myles,Turner,1
2125,Naz Mitrou-Long,18-19,18.5,25,76,218,14,6,0.139,105.25,184,1.4,2.6,0.6,1.6,0.46,4.29,0.5,0.5,9.9,4.5,4.44,4.21,0.1,0,0.1,,,,,,,,,0,,,0,,,Naz,Mitrou-Long,0
2126,Nemanja Bjelica,18-19,18.5,31,82,234,77,23.2,0.162,105.31,3911,7.7,2.9,1.3,1.1,1.74,4.23,0.7,0.4,39.7,22.6,1.66,0.68,0.7,1,3.1,,,,,,,,,0,,,0,,,Nemanja,Bjelica,0
2127,Nene,18-19,18.5,36,83,250,42,13,0.114,101.71,1154,2.8,0.5,0.3,0.1,0.94,4.05,0.1,0,18.2,9.7,1.77,0.48,1.9,0.4,2.2,,,,,,,,,0,,,0,,,Nene,,0
2128,Nerlens Noel,18-19,18.5,25,83,220,77,13.7,0.137,103.88,2277,3.6,0.3,0.1,0.1,1.06,4.24,0.2,,21.2,9.6,1.48,0.39,2.1,0.1,4.3,,,,,,,,,0,,,0,,,Nerlens,Noel,0
2129,Nick Young,18-19,18.5,34,79,210,4,9.3,0.126,101.47,78,2.3,0.3,0.3,0,0.66,3.93,0.8,0.5,7,4.8,1.54,0.71,0,0,0,,,,,,,,,0,,,0,,,Nick,Young,0
2130,Nicolas Batum,18-19,18.5,30,80,200,75,31.4,0.129,99.83,4898,7.5,3.3,1.4,1.4,2.41,4.33,2.3,1.1,44.1,30.7,2.24,1.45,0.4,0.2,1.4,,,,,,,,,0,,,0,,,Nicolas,Batum,0
2131,Nik Stauskas,18-19,18.5,25,78,205,68,14.9,0.171,101.25,2150,5,2.9,1,1.5,1.17,4.41,2,1.1,20.5,14.4,2.37,1.76,0.3,0,0.3,Pacers,2019-02-05,2019-02-08,3,Sore_knee,,,,0,,,0,,,Nik,Stauskas,0
2132,Nik Stauskas,18-19,18.5,25,78,205,68,14.9,0.171,101.25,2150,5,2.9,1,1.5,1.17,4.41,2,1.1,20.5,14.4,2.37,1.76,0.3,0,0.3,Blazers,2019-01-24,2019-01-26,2,Sore_knee,2019-01-24,Blazers,sore left knee (DTD),0,knee,Leg,1,2019,1,Nik,Stauskas,0
2134,Nikola Jokic,18-19,18.5,24,84,250,80,31.3,0.271,98.4,5140,15.1,3.7,1.7,1.3,2.19,3.95,1.2,0.4,93.5,55.9,2.33,1.13,7,7.7,6.7,,,,,,,,,0,,,0,,,Nikola,Jokic,0
2135,Nikola Mirotic,18-19,18.5,28,82,250,46,27.1,0.206,106.6,2772,11.8,1.2,0.7,0.3,2.08,4.29,2.3,1,48.6,25.2,1.74,0.6,0.5,1.7,2.7,,,,,,,,,0,,,0,,,Nikola,Mirotic,0
